period,date,Aka,Ako,Hen,Hot,Kil,Kit,Koh,Kor,Kun,Mal,Mei,Mik,Ntr,Ten,Tot
2,2020/11/3,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
2,2020/11/4,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
2,2020/11/5,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
2,2020/11/6,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
2,2020/11/7,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
2,2020/11/8,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0
2,2020/11/9,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
2,2020/11/10,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
2,2020/11/11,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
2,2020/11/12,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
2,2020/11/13,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
2,2020/11/14,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
2,2020/11/15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,2020/11/16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,2020/11/17,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
2,2020/11/18,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2,2020/11/19,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2,2020/11/20,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
2,2020/11/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/11/30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2,2020/12/2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/3,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2,2020/12/4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2,2020/12/15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2,2020/12/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/12/19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/9/20,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
3,2021/9/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/9/22,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
3,2021/9/23,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
3,2021/9/24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,2021/9/25,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
3,2021/9/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/9/27,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
3,2021/9/28,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
3,2021/9/29,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
3,2021/9/30,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
3,2021/10/2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
3,2021/10/3,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
3,2021/10/4,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
3,2021/10/5,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1
3,2021/10/6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
3,2021/10/7,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
3,2021/10/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/9,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
